State,Domain,Category,Plain_English_Definition,Typical_Trigger,How_To_Interpret,Portfolio_Implication,What_Not_To_Infer,Key_Data
FINANCING_DEPENDENCY_EQUITY_FACTOR,Equity,Factor overlay,Ranks companies/sectors by dependence on cheap external financing versus internally generated cash flow.,Especially relevant during market-imposed tightening/term-premium stress.,"High FCF, low leverage and low refinancing needs are more resilient to elevated long yields.",Favor self-funded cash generators; penalize highly levered/negative-FCF duration equity.,Do not equate all technology with high financing dependency.,"FCF, leverage, maturities, interest coverage, capex funding."
POST_WASHOUT_CONVEXITY_SETUP,Options/Positioning,Setup,"After leverage is purged and price stabilizes, compare implied versus realized volatility and upside flow for asymmetric optionality.",Washout + stabilization + attractive vol + flow/price confirmation.,Forced selling is reduced and convex upside may be underpriced.,Use limited-risk structures; require confirmation.,Unusual calls alone are not a buy signal.,"Positioning, IV/RV, options flow, price stabilization."
BOND_VOL_EQUITY_CALM_DIVERGENCE,Cross-asset/Volatility,Fragility,"Bond volatility rises while equities look calm, often indicating hidden event or rates fragility.",MOVE/bond vol rises while VIX/equity realized vol and volume remain subdued.,Rates are repricing risk before equities.,Reduce complacency and raise event-risk sensitivity.,Do not automatically short equities.,"MOVE, VIX, realized vol, breadth, volume."
POSITIONING_TRIAD,Positioning,Composite,"Crowding and squeeze risk are assessed from CFTC, prime-broker positioning and dealer-gamma/options positioning together.",At least two independent positioning sources available.,No single positioning feed should dominate the decision.,"Produce crowding, squeeze, forced-seller and gamma amplification states.",Do not treat a leaked prime-broker note as equivalent to direct inventory data.,"CFTC, PB research/direct data, dealer gamma proxy."
WEIGHT_OF_EVIDENCE_ALLOCATOR,Allocation,Governor,"Combines macro cycle, liquidity, earnings, valuation and market factors so no single pillar drives allocation.",Each pillar has current score/confidence.,Conflicting evidence should change conviction and size rather than force a binary call.,Use aggregate conviction to set tactical target around strategic target.,Do not sell solely because one pillar such as valuation is negative.,"Macro, liquidity, earnings, valuation, market confirmation."
SAA_TAA_DRIFT_GOVERNOR,Allocation,Governor,"Separates strategic target, deliberate tactical target and accidental weight drift caused by market moves.",Actual weights diverge from intended SAA/TAA weights.,Not every overweight is an active view.,Rebalance when drift exceeds tolerance or tactical thesis changes.,Do not mistake price appreciation for a new allocation decision.,"Strategic weights, tactical tilts, actual weights."
NOMINAL_GROWTH_MARGIN_TEST,Macro/Equity,Diagnostic,Tests whether stronger nominal growth lifts revenues/cash flows faster than discount rates and costs rise.,Inflation/nominal GDP and yields rise together.,Higher inflation/yields are not mechanically bearish if nominal earnings accelerate faster.,Condition equity sensitivity on margin/cash-flow response.,Do not use 'yields up = equities down' without earnings context.,"Nominal GDP, revenue growth, margins, yields."
CAPEX_FINANCING_STRESS,Equity/Credit,Diagnostic,"Evaluates whether large capex programs are funded sustainably or increasingly rely on debt, issuance, vendor/customer financing or off-balance-sheet structures.",Capex accelerates materially.,Financing quality can change the risk of an otherwise attractive investment boom.,Reduce conviction when capex outpaces internal cash generation and funding quality deteriorates.,Do not treat all capex growth as equally bullish.,"Capex, FCF, debt issuance, equity issuance, financing structures."
AI_CAPEX_MACRO_PULSE,Macro/Equity,Slow state,Measures the macro growth impulse from hyperscaler/data-center/semiconductor investment.,AI infrastructure spending and related construction/equipment accelerate or decelerate.,AI capex can be a meaningful GDP/industrial demand impulse.,Support infrastructure/semis only when financing and earnings quality also pass.,Do not equate capex dollars with future profitability.,"Hyperscaler capex, data-center construction, equipment, semis."
SAFE_HAVEN_TRANSMISSION,Cross-asset,Rule,"Determines which safe haven should work by tracing the shock through inflation expectations, real yields, USD and liquidity.",Geopolitical/fiscal/financial shock.,"Gold, Treasuries and USD can react differently depending on the transmission path.",Trade the observed transmission rather than the label 'risk-off'.,Do not assume every geopolitical shock is bullish for gold or bonds.,"Breakevens, real yields, USD, liquidity, gold, Treasuries."
EVIDENCE_PROVENANCE_SCORE,Governance,Quality,"Scores evidence by source directness, freshness, independence and verifiability.",Every external/non-primary input.,Confidence should reflect evidence quality as well as model fit.,Use provenance in confidence and double-counting controls.,Do not give equal weight to primary data and unsourced narrative.,Source metadata.
LIQUIDITY_OFFSET_MAP,Liquidity,Composite,"Combines Fed balance sheet, Treasury cash/issuance, fiscal flows, bank credit, USD and global liquidity instead of equating liquidity with QE.",Multiple liquidity channels available.,One tightening channel can be offset by another.,"Use net liquidity impulse in allocation, not a single balance-sheet series.",Do not infer liquidity solely from Fed assets.,"Fed balance sheet, TGA, reserves, credit, USD, global liquidity."
CONCENTRATION_ADJUSTED_MARKET_HEALTH,Equity,Breadth,Separates index strength from the breadth and concentration underlying it.,Cap-weighted index and equal-weight/breadth data diverge.,Strong index returns may coexist with fragile participation.,Reduce conviction when leadership narrows without earnings support.,Do not call the whole market healthy because the index is at a high.,"Equal weight, advance/decline, contribution, earnings breadth."
FORECAST_ENSEMBLE_CALIBRATION,Governance,Model control,Combines multiple macro/market models and scores their historical calibration instead of relying on a single forecast.,Multiple independent forecasts/signals exist.,Ensembles reduce model-specific error if independence is real.,Weight models by out-of-sample calibration and freshness.,Do not average highly correlated models as if they were independent.,"Forecasts, realized outcomes, model correlations."
SLOW_FAST_MACRO_CONSENSUS,Macro,Composite,Compares slow-moving structural indicators with fast real-time nowcasts to distinguish durable regime shifts from short-lived noise.,Slow and fast macro layers are both available.,Agreement raises confidence; divergence signals transition risk.,Use divergence to reduce size and demand confirmation.,Do not let one hot release overturn the structural layer.,"PMIs, nowcasts, labor/inflation trends, structural data."
CROSS_ASSET_TREND_DIFFUSION,Cross-asset,Breadth,Measures how widely trend signals agree across major asset classes and regions.,"Trend states available across equities, bonds, FX and commodities.",Broad agreement is more robust than one-market momentum.,Use diffusion as confirmation for regime confidence.,Do not count closely related assets as independent confirmations.,Trend signals across assets.
CORRELATION_REGIME,Cross-asset,Regime,"Tracks whether key asset correlations are normal, unstable or reversing, affecting diversification and hedge reliability.",Rolling correlations shift materially versus historical bands.,Portfolio hedges can fail when correlation regimes change.,Adjust hedge assumptions and risk budgets.,Do not assume historical stock/bond or gold/USD correlation is permanent.,"Rolling correlations, covariance."
REBALANCE_PRESSURE,Allocation,State,Quantifies how far actual weights have drifted from strategic/tactical targets and the economic urgency of rebalancing.,Weight drift exceeds tolerance or concentration rises.,Portfolio risk can change without any new trade.,"Prioritize meaningful, fee-efficient rebalances.",Do not rebalance tiny deviations that are smaller than transaction costs.,"Targets, actual weights, transaction costs."
FLOW_BREADTH_GOVERNOR,Equity/Positioning,Governor,Combines money-flow direction/persistence with market breadth to govern equity exposure.,Flow and breadth signals available.,Price moves supported by broad persistent flow are more durable.,Increase/decrease tactical equity risk gradually with the composite.,Do not use flow alone as a binary timing signal.,"Money flow, breadth, persistence."
FUNDAMENTAL_PRICE_AGREEMENT,Equity,Confirmation,Tests whether earnings/fundamental direction agrees with price trend.,Fundamental revisions and price trend both available.,Agreement raises confidence; disagreement warns of narrative/positioning risk.,Require stronger sizing when both agree.,Do not short simply because valuation/fundamentals look weak while price remains strong.,"Earnings revisions, price trend."
RECOVERY_COST_DRAWDOWN_BUDGET,Risk,Risk control,Sizes risk with awareness that large drawdowns require disproportionately larger gains to recover.,Any proposed position/allocation change.,Drawdown control has nonlinear value.,Set maximum loss/portfolio drawdown budgets before entry.,Do not evaluate downside only in percentage points without recovery math.,"Position risk, drawdown, volatility."
VALUATION_RATE_GAP,Valuation/Rates,Slow state,Compares equity valuation/earnings yield with prevailing real and nominal rates to measure risk-premium compression.,Valuation and rates both available.,High valuations are more fragile when safe yields are also high.,Lower permissible overweight as the valuation-rate gap compresses.,Do not use valuation as a short-term timing trigger.,"Earnings yield, bond yields, real yields."
PAPER_HARD_ROTATION,Relative value,Slow state,Tracks long-run relative rotation between financial assets and hard/real assets.,Relative-strength trends and valuation/capital-cycle evidence align.,Leadership can migrate for years rather than weeks.,"Use as strategic/tactical tilt prior, not daily trade trigger.",Do not extrapolate one commodity spike into a secular rotation.,"Commodity/equity ratios, valuations, capex, inflation regime."
CONCENTRATION_FRAGILITY,Equity,Risk,Measures dependence of index returns/earnings on a small number of names or themes.,"Contribution concentration, breadth or valuation dispersion becomes extreme.",The index can remain strong while underlying fragility rises.,Reduce concentration and demand stronger confirmation for crowded leaders.,Do not infer imminent crash from concentration alone.,"Index contribution, breadth, valuation, earnings concentration."
SPECULATION_COMPLEX,Positioning,Slow state,"Composite of leverage, issuance, options/speculative activity and valuation excess.",Multiple speculative indicators become extreme.,Fragility rises when leverage and narrative reinforce each other.,Reduce risk budget at extremes; require price confirmation before acting.,Do not short solely because speculation is high.,"Margin debt, options, issuance, unprofitable growth, valuation."
CAPITAL_CYCLE_STATE,Commodities/Equity,Slow state,"Tracks how past returns influence capex, capacity and future supply.",Producer profitability/capex/spare capacity data available.,Underinvestment can create future scarcity; high returns eventually attract supply.,Use with inventories/curve before allocating to producers/commodities.,Do not assume high prices automatically mean near-term new supply.,"Capex, depreciation, spare capacity, inventories, curve."
INSIDER_DIVERGENCE,Equity,Slow confirmation,Compares corporate-insider behavior with public-market enthusiasm.,Reliable insider buying/selling data diverge materially from market sentiment.,Insiders may provide a slow caution/confirmation signal.,Use as low-frequency overlay only.,Do not use noisy insider transactions as a direct trade trigger.,"Insider transactions, valuation, sentiment."
NARRATIVE_CASHFLOW_GAP,Equity,Risk,Measures whether thematic capex/valuation enthusiasm is outrunning actual cash-flow growth and estimate breadth.,Capex/valuation accelerate faster than FCF/revisions.,Transformative technology can still be a poor investment at the wrong economics.,Reduce permissible overweight unless price/breadth/revisions remain strong.,Do not conclude the technology itself is invalid.,"Capex, FCF, valuation, revisions, breadth."
HIRING_BUFFER,Labor,State,"Assesses labor-market resilience through hiring, quits, claims and unemployment duration rather than layoffs alone.",Low-hire/low-fire dynamics or changing labor turnover.,A labor market can look stable while its ability to absorb displaced workers deteriorates.,Raise recession sensitivity when hiring buffer erodes.,Do not equate low layoffs with a healthy labor market.,"Hiring rate, quits, claims, duration."
LABOR_SUPPLY_ADJUSTED_PAYROLL_GAP,Labor,Nowcast,Compares payroll growth with the jobs needed to absorb current labor-supply growth.,Payroll and labor-supply/participation/immigration estimates available.,A fixed '100k jobs' threshold becomes obsolete when labor supply changes.,Interpret payroll strength relative to contemporaneous labor supply.,Do not use one historical payroll threshold across regimes.,"Payrolls, participation, population/immigration, labor force."
INFLATION_BREADTH_CONCENTRATION,Inflation,Diagnostic,Separates generalized inflation from a headline driven by a small number of categories.,Category-level CPI/PCE data available.,Broad inflation is more persistent than concentrated shocks.,Adjust inflation persistence and Fed reaction-function confidence.,Do not infer broad overheating from one or two volatile categories.,CPI/PCE category diffusion/contribution.
PASS_THROUGH_STATE,Inflation,Pipeline,Tracks shock transmission from tariff/energy/import costs through margins into consumer prices and second-round effects.,Cost shock occurs.,"Announcement, import cost, margin absorption and consumer pass-through are distinct stages.",Update inflation risk as the shock moves through the pipeline.,Do not assume announced tariffs equal immediate CPI.,"Tariffs, import prices, margins, producer/consumer prices."
RELEASE_RELIABILITY,Macro,Quality,"Scores a macro release for revisions, temporary distortions, sampling/collection issues and event contamination.",Any major macro release.,Not every print deserves equal weight.,Discount noisy releases in event-aware capital decisions.,Do not treat first print as ground truth when reliability is low.,"Revisions, weather/strikes, response rates, methodology."
FED_SCENARIO_ENGINE,Rates,Scenario,Uses conditional inflation/labor/growth states to map possible Fed paths rather than relying on a single dot-plot point estimate.,Macro states and market pricing available.,Policy is a conditional probability distribution.,Maintain multiple paths and update weights as data change.,Do not treat SEP median as a committee promise.,"Labor, inflation, growth, market pricing, Fed communication."
GROWTH_QUALITY,Macro,Slow state,Distinguishes durable productivity/business-formation/labor-reallocation growth from temporary nominal or fiscal impulses.,"Productivity, business formation and investment composition available.",Growth quality affects how long an expansion can persist without inflation.,Use as strategic macro prior.,Do not infer quality solely from headline GDP.,"Productivity, formation, investment, labor reallocation."
FAST_GROWTH_NOWCAST,Growth/PMI,Nowcast,Uses high-frequency survey internals to estimate current growth before official GDP data.,PMI output/orders and related nowcast variables available.,"Faster than quarterly data, but survey-sensitive.",Use for event/regime updates with reliability checks.,Do not override hard data after large survey distortions.,"PMI output, orders, services/manufacturing."
PMI_INFLATION_PIPELINE,Inflation/PMI,Pipeline,"Tracks PMI input costs, output prices and delivery stress as an early inflation pipeline.",PMI price components available.,Survey price pressure can lead official inflation.,Use as forward inflation input.,Do not treat supplier delays as inflation without decomposing the cause.,"PMI input/output prices, delivery times."
ORDERS_OUTPUT_GAP,Growth/PMI,Diagnostic,Compares new orders with current output to identify future acceleration or backlog exhaustion.,PMI orders/output available.,Orders leading output can signal future production changes.,Use as fast growth momentum input.,Do not use the gap without inventory/backlog context.,"PMI orders, output, backlogs."
PMI_BREADTH,Growth/PMI,Breadth,Measures how widely expansion/contraction is distributed across sectors/regions.,Sector/region PMI data available.,Broad improvement is more durable than one-sector strength.,Raise/lower confidence in the nowcast.,Do not treat one large sector as the whole economy.,Sector/regional PMIs.
DELIVERY_STRESS_DECOMPOSITION,Inflation/PMI,Diagnostic,Separates delivery delays caused by strong demand/capacity pressure from delays caused by exogenous supply disruption.,Delivery times deteriorate.,The same PMI component can imply demand strength or supply shock.,Route to growth or inflation risk depending on cause.,Do not interpret slower deliveries mechanically as stronger demand.,"Delivery times, orders, inventories, shipping/disruption data."
PMI_LABOR_TURN,Labor/PMI,Nowcast,Uses PMI employment/hiring intentions to identify labor turning points before official payrolls.,PMI employment data available.,Survey labor components can lead official employment.,Use as secondary labor confirmation.,Do not replace payroll/claims data with PMI alone.,"PMI employment, hiring intentions."
GLOBAL_TRADE_PULSE,Global macro,Nowcast,"Tracks export orders, shipping and manufacturing breadth to gauge global trade momentum.",Trade-sensitive survey/physical data available.,"Global trade turns can affect cyclicals, EM and commodities.",Use as cross-asset growth input.,Do not infer global trade from one country's exports.,"Export orders, shipping, trade volumes."
PMI_MARGIN_PRESSURE,Equity/Inflation,Diagnostic,Compares input-cost pressure with firms' ability to raise output prices.,PMI input and output price indices available.,Costs rising faster than selling prices can compress margins.,Use in earnings/margin risk scoring.,Do not treat high input costs as negative if pricing power is equally strong.,PMI input/output prices.
PMI_SHOCK_ADJUSTER,Macro/PMI,Quality,"Down-weights PMI signals distorted by lockdowns, weather, strikes, stockpiling or abnormal delivery mechanics.",Known temporary shock affects survey responses.,Survey level may not represent underlying demand.,Reduce nowcast confidence temporarily.,Do not discard the whole survey permanently.,"Event metadata, PMI internals."
STRATEGIC_PERMISSION_OPEN,Execution,State,Layer 1 capital is authorized for deployment; tactical conditions may change pace but not cancel permission indefinitely.,Strategic floor/underweight/schedule authorizes capital.,Strategic objective has priority over tactical perfection.,Deploy in fee-efficient tranches within max deferral.,Do not keep cash indefinitely because Layer 3 is neutral.,"Strategic target, cash, schedule."
TACTICAL_BLOCKED,Execution,State,"Layer 2/3 capital is not currently authorized because timing, expression, event or friction conditions fail.",One or more tactical gates fail.,Tactical risk is withheld while strategic rules remain separate.,Wait for specified confirmation or use alternative expression.,Do not interpret as a blanket portfolio risk-off signal.,Technical/event/expression/friction gates.
NO_CHASE,Technical/Execution,State,The setup may be attractive directionally but the current price is too extended relative to the defined entry plan.,Price runs beyond acceptable entry zone without a new base/retest.,Risk/reward deteriorated even if thesis remains valid.,Wait for consolidation/retest or another expression.,Do not convert FOMO into a larger order.,"Price distance, ATR, support/resistance."
LONG_END_STRESS,Rates,State,Long-term Treasury yields are above a framework stress threshold or rising fast enough to pressure duration-sensitive assets.,"Typical Crown threshold includes the 30Y around/above 5%, subject to context.",Long discount rates are a portfolio headwind independent of front-end policy.,Raise hurdle for duration and financing-dependent assets.,Do not assume immediate equity collapse.,10Y/30Y yields and changes.
FRAGILE_RALLY,Equity/Volatility,State,"Equities rise while breadth, volatility, credit or rates confirmation remains weak.","Index up with warning signals such as VIX up, narrow breadth or long-end stress.",Price is constructive but internally vulnerable.,Stay invested selectively; avoid leverage/chasing.,Do not equate fragility with a confirmed bear market.,"Index, breadth, VIX, credit, rates."
MACRO_POSITIONING_CONFLICT,Macro/Positioning,State,Macro backdrop and positioning/flow point in opposing directions.,Macro score and positioning score have materially opposite signs.,Near-term price can diverge from macro fair value.,Reduce conviction and wait for price/cross-asset confirmation.,Do not choose one side automatically.,"Macro composite, positioning."
FED_MARKET_TIGHTENING_REPRICE,Rates,State,Markets price materially tighter policy/financial conditions than previously expected.,Front-end yields/OIS/Fed probabilities reprice higher.,Risk assets face a higher discount-rate hurdle.,Reduce tactical duration/growth sensitivity.,Do not infer long-end behavior without term-premium analysis.,2Y/OIS/Fed pricing.
NEGATIVE_GAMMA_RISK,Options,State,"Dealer positioning is estimated to be short gamma, which can amplify directional moves.",Dealer-gamma proxy below zero/threshold.,Hedging flows may reinforce price movement.,Reduce leverage; expect wider intraday range.,Do not treat gamma sign as directional forecast.,Dealer gamma proxy/options positioning.
MEGACAP_CROWDING_RISK,Positioning/Equity,State,Mega-cap positioning/valuation is crowded enough to raise unwind risk.,Positioning and/or valuation reaches extreme historical percentile.,Good news may have fewer incremental buyers.,Reduce chase size; use breadth/earnings confirmation.,Do not short solely because a name is crowded.,"Positioning, valuation, price."
AI_CROWDING_RISK,Positioning/Equity,State,AI-related exposure is crowded enough to raise fragility or squeeze/unwind risk.,AI positioning composite extreme.,Positioning can dominate short-horizon reactions.,Size down and differentiate sub-groups.,Do not treat all AI assets as equally crowded.,"Positioning, options, valuation."
CROWDED_COPPER_LONG,Positioning/Commodities,State,Copper long positioning is historically crowded.,CFTC/flow percentile extreme.,Upside can persist but reversal sensitivity rises.,Avoid late leverage and monitor liquidation risk.,Do not short solely because positioning is crowded.,CFTC/flow.
